min_con,max_con,avg_con,var_con,avg_dia,avg_seg_dia,avg_len_seg_dia,prop_dia
2,13,2.4915254237288136,2.758402757828211,60.2,2.463157894736842,28.00675172780436,1.0
2,3,2.6666666666666665,0.22222222222222224,13.08695652173913,1.7826086956521738,9.67608695652174,1.0
2,21,3.6904761904761907,5.220521541950114,22.402127659574468,1.6319148936170214,13.179545198694134,1.0
2,4,2.875,0.609375,12.192307692307692,1.2692307692307692,10.01923076923077,1.0
2,18,3.2891156462585034,3.7361400342449897,19.52857142857143,1.1294117647058823,17.400700280112044,1.0
2,29,5.896551724137931,22.33905214880245,16.775599128540303,1.0973129992737836,15.499273783587508,1.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,2.2,0.15999999999999998,14.863636363636363,1.3181818181818181,12.772727272727273,1.0
2,9,4.416666666666667,5.076388888888888,19.451612903225808,1.6129032258064515,12.446236559139784,1.0
1,1,1.0,0.0,2.0,2.0,1.0,1.0
